Day_n,UIUC,Berkeley,Texas A&M,university of michigan,Purdue University
1,74,108,39,7,22
2,77,142,43,32,11
3,81,159,48,21,25
4,103,127,69,17,15
5,67,172,63,32,11
6,34,146,50,22,28
7,94,66,40,9,16
8,154,76,16,10,14
9,143,62,53,19,5
10,211,114,100,19,29
11,151,143,103,23,16
12,145,88,125,33,56
13,79,70,101,18,16
14,58,58,70,19,30
15,101,58,88,18,19
16,123,82,83,19,6
17,120,122,64,18,24
18,74,104,63,35,34
19,52,106,48,20,83
20,57,101,37,21,62
21,32,95,46,24,27
22,44,57,43,32,7
23,44,89,64,41,31
24,75,125,53,29,53
25,53,72,73,40,31
26,25,108,63,72,29
27,40,87,57,37,42
28,31,29,28,32,26
29,47,81,21,46,23
30,67,56,20,66,36
31,60,65,56,33,43
32,40,96,71,35,35
33,55,115,43,29,44
34,55,58,40,18,92
35,36,52,32,15,40
36,30,45,38,14,43
37,47,48,51,43,24
38,63,96,39,40,62
39,80,93,44,40,35
40,53,67,31,58,43
41,28,92,55,47,47
42,18,63,37,22,35
43,33,45,27,49,31
44,74,36,39,62,23
45,53,43,69,92,48
46,47,36,107,90,46
47,42,103,48,80,75
48,45,151,27,58,45
49,31,82,22,37,50
50,61,113,18,77,39
51,80,78,38,67,35
52,40,78,27,81,40
53,37,116,57,106,67
54,41,63,75,73,66
55,23,94,49,82,51
56,21,95,29,54,36
57,58,94,26,67,45
58,83,62,20,100,38
59,80,141,31,45,40
60,81,65,36,88,108
61,71,117,26,73,64
62,52,131,34,55,77
63,68,76,31,56,82
64,130,104,39,55,49
65,110,70,30,111,57
66,100,137,23,93,74
67,113,144,39,103,148
68,120,203,52,172,119
69,110,175,78,101,56
70,80,153,26,83,78
71,110,137,32,118,123
72,141,91,42,127,66
73,163,206,56,105,128
74,175,226,30,225,187
75,184,151,32,173,134
76,173,208,78,184,157
77,149,209,54,66,152
78,179,259,40,154,124
79,208,294,43,101,176
80,174,329,58,141,96
81,169,216,95,295,204
82,133,189,59,213,86
83,134,255,97,132,286
84,132,254,86,116,149
85,177,543,91,211,244
86,125,273,46,127,170
87,220,244,82,179,172
88,160,364,61,186,269
89,133,169,80,117,202
90,125,311,88,169,241
91,79,378,73,80,211
92,143,415,52,127,191
93,124,307,44,126,182
94,109,573,81,172,138
95,89,598,83,155,219
96,60,672,0,103,161
97,117,602,0,114,107
98,98,406,64,99,128
99,123,776,72,197,279
100,152,530,78,133,167
101,169,624,91,184,263
102,106,615,73,162,212
103,130,1058,53,103,287
104,126,1006,44,155,275
105,95,732,37,84,158
106,118,700,25,127,221
107,97,649,74,136,192
108,130,778,109,125,182
109,110,664,134,120,197
110,83,915,127,107,228
111,62,871,115,66,284
112,50,741,69,55,106
113,107,962,98,95,267
114,77,950,57,86,181
115,79,760,108,51,172
116,94,828,102,74,207
117,73,712,119,39,159
118,79,686,103,75,153