Date,Rate,Cases
08/17/2020,6.3,119
08/18/2020,6.4,314
08/19/2020,6.3,139
08/20/2020,6.5,206
08/21/2020,6.8,272
08/22/2020,6.7,225
08/23/2020,7,125
08/24/2020,7,67
08/25/2020,6.7,148
08/26/2020,6.5,161
08/27/2020,6.1,157
08/28/2020,5.6,153
08/29/2020,5.6,143
08/30/2020,5.3,54
08/31/2020,5.8,91
09/01/2020,5.7,152
09/02/2020,5.6,100
09/03/2020,5.7,173
09/04/2020,5.6,110
09/05/2020,5.3,93
09/06/2020,5.3,78
09/07/2020,5.1,47
09/08/2020,5.3,56
09/09/2020,5.1,131
09/10/2020,5.1,122
09/11/2020,5.1,88
09/12/2020,5.1,98
09/13/2020,5.2,100
09/14/2020,5.1,65
9/15/2020,5.1,102
9/16/2020,5,153
9/17/2020,5.1,108
9/18/2020,4.7,122
9/19/2020,4.7,97
9/20/2020,4.3,45
9/21/2020,4.3,52
9/22/2020,4.2,43
9/23/2020,4.1,136
9/24/2020,4.1,69
9/25/2020,4.1,92
9/26/2020,4,76
9/27/2020,,50
9/28/2020,,42
9/29/2020,,71
9/30/2020,,73
10/1/2020,,110
10/2/2020,,75
10/3/2020,,100
10/4/2020,,84
10/5/2020,,89
10/6/2020,,95
10/7/2020,,166
10/8/2020,,146
10/9/2020,,205
10/10/2020,,69
10/11/2020,,88
10/12/2020,,74
10/13/2020,,84
10/14/2020,,91
10/15/2020,,121
10/16/2020,,123
10/17/2020,,129
10/18/2020,,96
10/19/2020,,58
10/20/2020,,67
10/21/2020,,131
10/22/2020,,124
10/23/2020,,307
10/24/2020,,118
10/25/2020,,132
10/26/2020,,79
10/27/2020,,115
10/28/2020,,189
10/29/2020,,89
10/30/2020,,110
10/31/2020,,221
11/1/2020,,102
11/2/2020,,91
11/3/2020,,128
11/4/2020,,180
11/5/2020,,210
11/6/2020,,122
11/7/2020,,144
11/8/2020,,140
11/9/2020,,93
11/10/2020,,151
11/11/2020,,173
11/12/2020,,216
11/13/2020,,230
11/14/2020,,267
11/15/2020,,138
11/16/2020,,51
11/17/2020,,665
11/18/2020,,217
11/19/2020,,230
11/20/2020,,254
11/21/2020,,296
11/22/2020,,170
11/23/2020,,183
11/24/2020,,316
11/25/2020,,211
11/26/2020,,228
11/27/2020,,183
11/28/2020,,332
11/29/2020,,114
11/30/2020,,99
12/1/2020,,363
12/2/2020,,317
12/3/2020,,428
12/4/2020,,456
12/5/2020,,345
12/6/2020,,232
12/7/2020,,386
12/8/2020,,539
12/9/2020,,283
12/10/2020,,415
12/11/2020,,350
12/12/2020,,502